"tradetype","districtofficecode","districtofficename","countryoforigin","countryoforiginname","countryofdestination","countryofdestinationname","tariff","statisticalunit","transportcode","transportcodedescription","yearmonth","calendaryear","tariffanddescription","statisticalquantity","customsvalue","worldregion"
"Imports","DBN","Durban","IE","Ireland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","7026.7","94453","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","55462","2042006","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","23160","724672","EUROPE"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","19445","1253110","EUROPE"
"Imports","CTN","Cape Town","BR","Brazil","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","4180.93","31603","AMERICA"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1615","92143","EUROPE"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","3120","222034","EUROPE"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","502","18623","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","FR","France","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1000","22875","EUROPE"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","75.5","2769","AFRICA"
"Imports","NAR","Narogas","NA","Namibia","ZA","South Africa","18062010","KG","03","Road","201001","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1950","204788","AFRICA"
"Imports","PEZ","Port Elizabeth","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","12862.9","168756","EUROPE"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","18062010","KG","03","Road","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","13","110","AFRICA"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","106","8342","AFRICA"
"Imports","JSA","O.R. Tambo Int Airport","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","23.9","792","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","14","1892","EUROPE"
"Imports","CTN","Cape Town","BR","Brazil","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","849","24786","AMERICA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","3","1339","AFRICA"
"Imports","DFM","Cape Town Int Airport","LB","Lebanon","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","308","55783","ASIA"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1900","94287","EUROPE"
"Imports","GMR","Germiston/Alberton","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","4800","150008","EUROPE"
"Imports","DBN","Durban","NL","Netherlands","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","38.91","6865","EUROPE"
"Imports","DBN","Durban","KE","Kenya","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","9842","74939","AFRICA"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","83875","2216928","ASIA"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","5240","276684","EUROPE"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","2460","132618","EUROPE"
"Imports","CTN","Cape Town","DE","Germany","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","10.61","1318","EUROPE"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","25766","1686456","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","26830","614965","EUROPE"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","38280","883904","ASIA"
"Imports","DBN","Durban","TR","Turkey","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","7392","109188","ASIA"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201002","2010","18062010 - Chocolate and sugar confectionery containing cocoa","169.66","10660","EUROPE"
"Imports","JSA","O.R. Tambo Int Airport","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","0.02","6","EUROPE"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","22","2184","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1","744","AFRICA"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","430","4842","AFRICA"
"Imports","PEZ","Port Elizabeth","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","18062010 - Chocolate and sugar confectionery containing cocoa","13390.57","139492","EUROPE"
"Imports","KFN","Kopfontein","BW","Botswana","ZA","South Africa","18062010","KG","03","Road","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","968","4478","AFRICA"
"Imports","MSB","Maseru Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","173","15403","AFRICA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","18062010","KG","03","Road","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","2","367","AFRICA"
"Imports","DFM","Cape Town Int Airport","DE","Germany","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1","72","EUROPE"
"Imports","DFM","Cape Town Int Airport","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","2.01","25","EUROPE"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","57400","1391513","ASIA"
"Imports","CTN","Cape Town","IT","Italy","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","1920","132217","EUROPE"
"Imports","DBN","Durban","PK","Pakistan","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","540","14537","ASIA"
"Imports","DBN","Durban","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","6425","389312","EUROPE"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","6755","426341","EUROPE"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","61320","2049950","EUROPE"
"Imports","CTN","Cape Town","BR","Brazil","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","18062010 - Chocolate and sugar confectionery containing cocoa","3600","54162","AMERICA"
"Imports","DBN","Durban","BE","Belgium","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","4800","174423","EUROPE"
"Imports","CTN","Cape Town","BR","Brazil","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","3800","41936","AMERICA"
"Imports","CTN","Cape Town","CH","Switzerland","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","25192","1723517","EUROPE"
"Imports","DBN","Durban","PK","Pakistan","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","6930","96934","ASIA"
"Imports","DBN","Durban","SG","Singapore","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","38000","898898","ASIA"
"Imports","DBN","Durban","GB","United Kingdom","ZA","South Africa","18062010","KG","00","Transport mode not specified (Unknown - Other)","201101","2011","18062010 - Chocolate and sugar confectionery containing cocoa","840","24849","EUROPE"
